code,name,new_price,pre_close,change_rate,high,low,volume,amount,turnover,industry,area,macd_golden,kdj_golden,break_ma5,break_ma10,break_ma20,upper_volume,down_volume,upside_volume,reversing_hammer,win_3d,win_5d,win_10d,change_3d,change_5d,change_10d,technical_score,signals,trend
600997,开滦股份,6.5,6.38,1.88,6.63,6.36,122249,79487475,0.77,煤炭,河北省,1,0,0,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',3.17,7.97,4.33,60,"['MACD金叉', '均线突破(突破10日线)']",强势
600998,九州通,5.3,5.29,0.19,5.31,5.22,110308,57959667,0.22,医药商业,湖北省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.57,2.91,1.53,10,[],温和
600999,招商证券,16.47,16.6,-0.78,16.51,16.41,103110,169686791,0.14,非银行金融,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.61,-2.02,-2.37,0,[],弱势
601001,晋控煤业,17.41,16.95,2.71,17.5,17.05,98124,169717519,0.59,煤炭,山西省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',5.26,6.88,11.1,20,[],强势
601002,晋亿实业,5.5,5.61,-1.96,5.6,5.48,55410,30622364,0.58,通用设备,浙江省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.61,-0.54,-1.61,0,[],弱势
601006,大秦铁路,5.15,5.1,0.98,5.15,5.07,578813,295693060,0.29,公路铁路,山西省,0,0,0,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',1.18,2.18,1.58,25,['均线突破(突破10日线)'],温和
601007,金陵饭店,8.09,8.16,-0.86,8.16,8.01,23889,19292144,0.61,休闲服务,江苏省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.49,-2.18,-3.11,10,['均线突破(突破5日线)'],弱势
601008,连云港,5.46,5.44,0.37,5.68,5.42,244227,135820206,1.97,港口航运,江苏省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',1.68,6.23,3.61,10,[],温和
601010,文峰股份,2.51,2.55,-1.57,2.52,2.5,85649,21492307,0.46,零售,江苏省,0,1,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-2.71,-3.83,-5.64,20,['KDJ金叉'],弱势
601011,宝泰隆,3.82,3.77,1.33,3.9,3.71,461581,175627850,2.41,煤炭,黑龙江省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',3.52,12.68,9.46,20,[],强势
601012,隆基绿能,18.42,18.32,0.55,18.55,17.9,601658,1097988242,0.79,电源设备,陕西省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.81,1.6,0.33,10,['均线突破(突破5日线)'],弱势
